"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"1","mmu-miR-6240",17982.0445962296,7.05818954862181,0.909471803238887,7.76075687391912,8.4424022912681e-15,5.14142299538227e-12,5.25117422516876e-12
"2","mmu-miR-2137",1440.58030481363,5.59586781279885,0.784834739077729,7.12999506032905,1.00372529432285e-12,2.03756234747539e-10,2.08105711022938e-10
"3","mmu-miR-674-3p",3056.99950772816,-0.89410289152698,0.124695562638751,-7.17028635667844,7.48410551437004e-13,2.03756234747539e-10,2.08105711022938e-10
"4","mmu-miR-671-3p",1124.02585206906,-1.08961116862515,0.166346104749353,-6.55026560596026,5.74348388091623e-11,8.74445420869495e-09,8.93111743482473e-09
"5","mmu-miR-27b-5p",869.132740458781,-0.882959852446696,0.141747749797904,-6.22909255142019,4.69144593189146e-10,5.7141811450438e-08,5.83615873927298e-08
"6","mmu-miR-20a-5p",2734.9143619843,1.22882336063726,0.206748334544489,5.94357078302283,2.78879245768295e-09,2.83062434454819e-07,2.89104818113132e-07
"7","mmu-miR-20b-5p",29.5155831530012,1.6977061937001,0.296535347445775,5.72513937486172,1.03348859058043e-08,8.99135073804976e-07,9.18328433344327e-07
"8","mmu-miR-29b-3p",5903.61432261966,-0.527079395241332,0.0931634179531784,-5.6575789813361,1.53523173862127e-08,1.16869516102544e-06,1.19364267677804e-06
"9","mmu-miR-17-5p",1896.82389514154,0.854311166226117,0.151669230441701,5.63272566055843,1.77383512349055e-08,1.2002951002286e-06,1.22591716312347e-06
"10","mmu-miR-223-3p",19053.7360630861,2.35729514830704,0.422085010592183,5.58488240319117,2.33858401819319e-08,1.3378057660102e-06,1.36636319615491e-06
"11","mmu-miR-542-5p",154.452128358092,1.14819213642828,0.205799037300148,5.57919099861335,2.4163979353222e-08,1.3378057660102e-06,1.36636319615491e-06
"12","mmu-miR-5121",377.283069171227,3.92770562125644,0.729624252853638,5.38318950596113,7.31774242836812e-08,3.71375428239682e-06,3.79302982537081e-06
"13","mmu-miR-5126",452.634059632741,3.70529199061195,0.696650371845358,5.31872534682928,1.04496738509975e-07,4.89527028865961e-06,4.99976702716959e-06
"14","mmu-miR-301b-3p",65.9710982963549,1.57978077518086,0.310775255286445,5.08335444443528,3.70826773981743e-07,1.61309646682058e-05,1.64753038154746e-05
"15","mmu-miR-142a-3p",6607.40088835229,1.20725873174907,0.239839801930734,5.03360460620179,4.81341962715015e-07,1.95424836862296e-05,1.99596467205826e-05
"16","mmu-miR-872-5p",3141.51180583063,-0.805451757131703,0.162464915832099,-4.95769657717428,7.13338525277589e-07,2.71514476183782e-05,2.77310351701663e-05
"17","mmu-miR-6538",297.764005546806,3.28941208544025,0.665603662791655,4.94199817297263,7.73259406889096e-07,2.77008811056152e-05,2.82921971226481e-05
"18","mmu-miR-27a-5p",492.054961640398,-0.660248681829909,0.134161386161039,-4.92130187919636,8.59704031635123e-07,2.90866530703217e-05,2.97075504265026e-05
"19","mmu-miR-23b-5p",20.9416848825138,-1.36971987525089,0.278937709261083,-4.91048657020712,9.08506784554263e-07,2.91200332522919e-05,2.97416431575132e-05
"20","mmu-miR-6236",197.834871972209,3.00977699492664,0.614594277910624,4.89717705338665,9.7223232441221e-07,2.96044742783518e-05,3.02364252892197e-05
"21","mmu-miR-450b-3p",25.5058636641609,1.10550583285651,0.230312598651008,4.80002326981546,1.58647195684909e-06,4.60076867486235e-05,4.69897884361967e-05
"22","mmu-miR-125b-1-3p",3015.9584232938,-0.951110026684066,0.204462775994676,-4.65175150859164,3.29127536820104e-06,9.11084863288379e-05,9.3053330864593e-05
"23","mmu-miR-542-3p",448.971291588996,0.925613069290033,0.199688619722996,4.63528202345243,3.56451164054747e-06,9.43820690910177e-05,9.63967930617619e-05
"24","mmu-miR-139-5p",3164.33177251021,1.64489541380589,0.358265156503578,4.5912793470036,4.40537227942334e-06,0.000111786321590367,0.000114172564908388
"25","mmu-miR-208b-3p",15626.2354510846,-1.81682122740493,0.3972981676973,-4.57294137029386,4.8092474432106e-06,0.00011715326771661,0.00011965407638708
"26","mmu-miR-26b-3p",679.45621931651,-0.379506415529504,0.0838656113624512,-4.52517318319364,6.03460689232918e-06,0.000141349061439556,0.000144366364885721
"27","mmu-miR-335-5p",2243.68844842914,0.933705505574918,0.207546947252814,4.498767714649,6.83484872451415e-06,0.000154163810119597,0.000157454663209178
"28","mmu-miR-3470b",385.749019536224,2.20024662191005,0.49955161701152,4.40444299844857,1.06056021920204e-05,0.000230671847676444,0.000235595877265596
"29","mmu-miR-511-5p",95.1301092462289,-0.878042140573813,0.203277105829497,-4.31943448324324,1.56429539349505e-05,0.000328502032633961,0.000335514391294456
"30","mmu-miR-146b-5p",5771.01395392233,1.16719962254795,0.271776259756046,4.29470779970135,1.74923572303184e-05,0.000348114864081726,0.000355545887452928
"31","mmu-miR-199a-3p",597845.725730827,-1.10941299618762,0.259078327783925,-4.28215283646917,1.85093773583752e-05,0.000348114864081726,0.000355545887452928
"32","mmu-miR-199b-3p",597845.725730827,-1.10941299618762,0.259078327783925,-4.28215283646917,1.85093773583752e-05,0.000348114864081726,0.000355545887452928
"33","mmu-miR-223-5p",186.277258887447,1.39839831348455,0.326886165602028,4.27793666614529,1.88633670192068e-05,0.000348114864081726,0.000355545887452928
"34","mmu-miR-1247-5p",443.18129331962,-2.27576872037296,0.532847932955185,-4.27095345524098,1.9463903166435e-05,0.000348632853775263,0.000356074934397723
"35","mmu-miR-21b",132.255263256314,-1.73512035109067,0.408212815364436,-4.25052885598807,2.13266356584252e-05,0.000371083460456598,0.000379004782272584
"36","mmu-miR-221-3p",8010.53985802232,-0.337042541558473,0.0797009032030085,-4.22884218388319,2.34897040635692e-05,0.000397367493742045,0.000405849886876112
"37","mmu-miR-466c-5p",41.027156604901,1.55906315135447,0.372671686186425,4.18347625844204,2.87085083780141e-05,0.000460091621110804,0.000469912952924336
