"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"1","mmu-miR-185-5p",1278.81721852236,1.9019871358695,0.144824829865976,13.1330182650975,2.12994719581958e-39,1.32908705019142e-36,1.32908705019142e-36
"2","mmu-let-7f-1-3p",593.351167950791,0.871078066149363,0.0709457931181067,12.2780791906751,1.18785021655071e-34,3.70609267563822e-32,3.70609267563822e-32
"3","mmu-miR-1a-3p",193057.97697813,3.5466408569709,0.299697005498022,11.8340884023091,2.60154608406055e-32,5.41121585484595e-30,5.41121585484595e-30
"4","mmu-miR-155-5p",2249.96332001233,0.927336114556214,0.0817024803643142,11.3501586539502,7.40282545719536e-30,1.15484077132248e-27,1.15484077132248e-27
"5","mmu-miR-222-3p",3558.98449254038,-1.49985829156173,0.136308255933374,-11.0034295523144,3.67869457772223e-28,4.59101083299734e-26,4.59101083299734e-26
"6","mmu-miR-147-3p",366.448681673158,-4.32374894785114,0.41172929447857,-10.5014362733818,8.50756895159775e-26,8.84787170966166e-24,8.84787170966166e-24
"7","mmu-miR-421-3p",1341.25123925016,-0.723467832008349,0.0701236440759028,-10.3170313172153,5.90198371504127e-25,5.26119691169393e-23,5.26119691169393e-23
"8","mmu-miR-30b-3p",264.886809974403,0.933498115317988,0.0911685475001912,10.2392562008957,1.32249143200621e-24,1.03154331696484e-22,1.03154331696484e-22
"9","mmu-miR-99b-3p",298.812153164893,-1.30741384648921,0.129182246233784,-10.120692932705,4.47237978829014e-24,3.10084998654783e-22,3.10084998654783e-22
"10","mmu-miR-21a-5p",400274.177078163,-3.13921108070193,0.311073276815854,-10.0915485664178,6.02120308460168e-24,3.75723072479145e-22,3.75723072479145e-22
"11","mmu-miR-190a-5p",725.828090073709,1.2952246713755,0.1316118598581,9.84124586319178,7.47790023717927e-23,3.9004266520628e-21,3.9004266520628e-21
"12","mmu-miR-21a-3p",9874.20977658166,-3.43426962050891,0.3489778739035,-9.84093800015116,7.50082048473615e-23,3.9004266520628e-21,3.9004266520628e-21
"13","mmu-miR-210-3p",2799.1387285784,-0.999593501851285,0.102428617589117,-9.75892797715056,1.68931426071643e-22,8.10870845143885e-21,8.10870845143885e-21
"14","mmu-miR-345-5p",1009.27779505461,0.750684271979217,0.0781599735768188,9.6044591320315,7.65588148384531e-22,3.41233574708534e-20,3.41233574708534e-20
"15","mmu-miR-532-5p",4312.94416233266,-1.07007695936777,0.111623634801656,-9.58647298369372,9.11476317555702e-22,3.79174148103172e-20,3.79174148103172e-20
"16","mmu-miR-674-5p",1031.80301218425,0.655772030624329,0.0714855253324714,9.17349390067995,4.57930803240759e-20,1.78593013263896e-18,1.78593013263896e-18
"17","mmu-miR-142a-5p",102625.612534569,-2.2068871848392,0.242066921781153,-9.11684739327742,7.73413823324638e-20,2.83888368090926e-18,2.83888368090926e-18
"18","mmu-miR-3098-5p",69.6545324493158,1.81182550603121,0.199831431571724,9.06676938548031,1.22598035982946e-19,4.25006524740878e-18,4.25006524740878e-18
"19","mmu-miR-324-3p",135.509214507077,-1.34110617177527,0.148565338470896,-9.02704618438299,1.76367992791411e-19,5.7922961843074e-18,5.7922961843074e-18
"20","mmu-miR-34c-3p",108.257245289136,-4.73908430081747,0.526188772727708,-9.00643371056846,2.12866021472688e-19,6.64141986994788e-18,6.64141986994788e-18
"21","mmu-miR-15b-5p",2344.46426999761,-1.15854035284996,0.130246002929785,-8.89501655935285,5.84105883352902e-19,1.73562891053434e-17,1.73562891053434e-17
"22","mmu-miR-1943-5p",499.099931419307,0.94251063174132,0.107569729306336,8.76185742791312,1.92059092592614e-18,5.44749426262687e-17,5.44749426262687e-17
"23","mmu-miR-5621-3p",15.0151617736857,2.30858211661922,0.264530522711687,8.72709165261565,2.61305313669345e-18,7.08932677085528e-17,7.08932677085528e-17
"24","mmu-miR-208a-5p",1101.59503536309,2.3518577321973,0.271200287423288,8.67203259459133,4.24474106025131e-18,1.10363267566534e-16,1.10363267566534e-16
"25","mmu-miR-181c-3p",2669.27906185024,1.00555534265581,0.116327660768017,8.64416370119488,5.42008016989532e-18,1.35285201040587e-16,1.35285201040587e-16
"26","mmu-miR-34b-3p",191.909288481138,-3.45704709844488,0.404744049108926,-8.54131668163083,1.32700988703336e-17,3.18482372888007e-16,3.18482372888007e-16
"27","mmu-miR-125b-1-3p",3015.9584232938,-2.48116176236602,0.290658638394998,-8.53634275611717,1.38536997563957e-17,3.20174394370033e-16,3.20174394370033e-16
"28","mmu-miR-3964",41.1382017252715,-1.73983370625978,0.204452909385046,-8.50970383103307,1.74378192777693e-17,3.88614258190288e-16,3.88614258190288e-16
"29","mmu-miR-30c-5p",425753.9496423,2.0285210433088,0.240286855916957,8.44208076038023,3.11737841858733e-17,6.70773839033963e-16,6.70773839033963e-16
"30","mmu-miR-130b-3p",750.141829192358,-2.13669092941523,0.254820894711566,-8.38506956752418,5.06957657781265e-17,1.05447192818503e-15,1.05447192818503e-15
"31","mmu-miR-34c-5p",6738.82149299341,-3.64804227018151,0.436216056711,-8.36292523866996,6.11819870212926e-17,1.23153419036408e-15,1.23153419036408e-15
"32","mmu-miR-30d-3p",4203.52910294951,0.953303326052662,0.116176241326915,8.20566507544437,2.29317868557181e-16,4.47169843686504e-15,4.47169843686504e-15
"33","mmu-miR-574-5p",531.661595753371,-1.52892288351489,0.189132359681355,-8.08387779907559,6.27391996437047e-16,1.18634122962642e-14,1.18634122962642e-14
"34","mmu-miR-140-3p",56104.4675078702,-2.65671087977193,0.329416587968719,-8.06489708412683,7.32975872751404e-16,1.34522630763787e-14,1.34522630763787e-14
"35","mmu-miR-30e-5p",446318.976799104,1.77285442106155,0.223052357068867,7.94815371762326,1.89311661043742e-15,3.37515647117985e-14,3.37515647117985e-14
"36","mmu-miR-34b-5p",257.294270875367,-3.56139796054497,0.452022125490157,-7.87881335826896,3.30504740904383e-15,5.72874884234264e-14,5.72874884234264e-14
"37","mmu-miR-142a-3p",6607.40088835229,-2.26351442921712,0.288593278257928,-7.84326801677663,4.38969686865489e-15,7.40316444875852e-14,7.40316444875852e-14
"38","mmu-miR-362-3p",526.924151411326,-0.743648411546016,0.0963995416215588,-7.71423182140636,1.21713069344512e-14,1.99865671765724e-13,1.99865671765724e-13
"39","mmu-miR-296-3p",59.1847476750917,-4.04566150549095,0.527553406082578,-7.66872407389534,1.73715678678415e-14,2.7782722419307e-13,2.7782722419307e-13
"40","mmu-miR-30d-5p",303447.291603335,1.30155734723866,0.169793525668656,7.66552989646134,1.78094374482737e-14,2.7782722419307e-13,2.7782722419307e-13
"41","mmu-miR-378a-5p",5478.62610008748,1.93575916455732,0.255009664627867,7.59092471017581,3.17630482816733e-14,4.83418100677174e-13,4.83418100677174e-13
"42","mmu-miR-223-5p",186.277258887447,-2.71684357603729,0.35863944367426,-7.57541766238325,3.5797408926916e-14,5.31847218342751e-13,5.31847218342751e-13
"43","mmu-miR-363-3p",67.9947216455678,-1.93214586488276,0.255529741684584,-7.56133455207621,3.98954644141271e-14,5.78948134753844e-13,5.78948134753844e-13
"44","mmu-miR-32-3p",34.3534804754377,1.16371278036669,0.154736551724034,7.52060691155974,5.45225474806094e-14,7.73228855179551e-13,7.73228855179551e-13
"45","mmu-miR-345-3p",734.116517826782,0.917427971279575,0.123227479759962,7.44499500490199,9.69480871586259e-14,1.34434680859961e-12,1.34434680859961e-12
"46","mmu-miR-199a-3p",597845.725730827,-2.09112649992235,0.283625258086469,-7.37285005584668,1.67018306937241e-13,2.17123799018413e-12,2.17123799018413e-12
"47","mmu-miR-199b-3p",597845.725730827,-2.09112649992235,0.283625258086469,-7.37285005584668,1.67018306937241e-13,2.17123799018413e-12,2.17123799018413e-12
"48","mmu-miR-540-5p",119.209267205878,-1.64393773314319,0.222857784757921,-7.37662242729781,1.6235559174308e-13,2.17123799018413e-12,2.17123799018413e-12
"49","mmu-miR-500-3p",225.044457433251,-1.50840699702281,0.205276693685301,-7.34816490826407,2.00946491402299e-13,2.55899205377621e-12,2.55899205377621e-12
"50","mmu-miR-130b-5p",125.938096181454,-1.6444615818214,0.229502764822304,-7.16532362080542,7.76030118070569e-13,9.6848558735207e-12,9.6848558735207e-12
"51","mmu-miR-2137",1440.58030481363,-7.05753277716369,0.989667902165784,-7.1312131693056,9.94880978605512e-13,1.19385717432661e-11,1.19385717432661e-11
"52","mmu-miR-30b-5p",71918.5234302334,1.34271501759872,0.188221635973954,7.13369114369257,9.77124559549837e-13,1.19385717432661e-11,1.19385717432661e-11
"53","mmu-let-7e-5p",8343.51333895041,-0.844236296160623,0.119553150644822,-7.06159805581992,1.6459852951292e-12,1.91446802085857e-11,1.91446802085857e-11
"54","mmu-miR-193a-3p",932.693538125796,-1.18176526880186,0.167372436271859,-7.06069228079076,1.65675117189684e-12,1.91446802085857e-11,1.91446802085857e-11
"55","mmu-miR-5709-5p",78.5044488124276,1.37588419714492,0.195235822965412,7.04729376118986,1.82430922940813e-12,2.06976174391031e-11,2.06976174391031e-11
"56","mmu-miR-29c-5p",330.364194631855,1.46628392643361,0.208235441922015,7.04147148487212,1.90220148052761e-12,2.11959593544505e-11,2.11959593544505e-11
"57","mmu-miR-874-3p",381.90582815873,1.19808495792586,0.170417302934035,7.03030113315202,2.06088264673705e-12,2.25612416063845e-11,2.25612416063845e-11
"58","mmu-miR-7068-3p",71.2378187275155,1.49863929381968,0.213622469624502,7.01536358255727,2.29351748557496e-12,2.46750846723927e-11,2.46750846723927e-11
"59","mmu-miR-9769-3p",29.3513307367423,1.46327819266766,0.208855666740779,7.00616945425667,2.44931245066255e-12,2.59045926985327e-11,2.59045926985327e-11
"60","mmu-miR-214-5p",3154.41637351415,-2.75827569849138,0.40581793837378,-6.79683039528642,1.06945873766803e-11,1.11223708717475e-10,1.11223708717475e-10
"61","mmu-miR-298-5p",998.239805429902,-2.44492158077154,0.362229295123951,-6.74965170869163,1.48200477586129e-11,1.51601800022532e-10,1.51601800022532e-10
"62","mmu-miR-15b-3p",333.873521785162,-1.2175168692622,0.182076931820949,-6.68682659074834,2.28061848546367e-11,2.29533215311182e-10,2.29533215311182e-10
"63","mmu-miR-135a-2-3p",16.335978573648,2.66960664566962,0.399585829054582,6.68093423629634,2.37423762221157e-11,2.35162583533336e-10,2.35162583533336e-10
"64","mmu-miR-27a-5p",492.054961640398,-1.46423587730976,0.221086702721848,-6.62290340976288,3.52211185363039e-11,3.38122737948517e-10,3.38122737948517e-10
"65","mmu-miR-455-5p",879.470388505215,-2.41149493462975,0.364059422780775,-6.62390473568891,3.49832267605063e-11,3.38122737948517e-10,3.38122737948517e-10
"66","mmu-miR-146b-5p",5771.01395392233,-1.99257129414256,0.302106466223664,-6.59559300087063,4.23559421015886e-11,3.94479221961064e-10,3.94479221961064e-10
"67","mmu-miR-29b-2-5p",46.8715551827045,1.29608659847573,0.19648371028454,6.59640738969549,4.21240425537011e-11,3.94479221961064e-10,3.94479221961064e-10
"68","mmu-miR-199a-5p",109733.589576491,-2.72069602348097,0.414973066856239,-6.55631953199391,5.51519908158354e-11,5.06100621604137e-10,5.06100621604137e-10
"69","mmu-miR-490-3p",6509.19771028308,1.41121083288687,0.216420085249872,6.52070176969728,6.99792014527475e-11,6.32855387050934e-10,6.32855387050934e-10
"70","mmu-miR-326-3p",456.412205390327,-1.11379659634193,0.171492993714829,-6.494706123062,8.31956511265084e-11,7.41629804327732e-10,7.41629804327732e-10
"71","mmu-miR-224-5p",1947.46757834059,-2.62380660979837,0.405256804608641,-6.47442949744471,9.51708352633343e-11,8.36431002877755e-10,8.36431002877755e-10
"72","mmu-miR-134-5p",508.124822660932,-2.93036444907044,0.458881671924084,-6.38588252344764,1.70411789951471e-10,1.47690217957941e-09,1.47690217957941e-09
"73","mmu-miR-18a-3p",44.5090995584594,-1.58627430755804,0.250028907857001,-6.34436362240674,2.23346735263705e-10,1.90915565485687e-09,1.90915565485687e-09
"74","mmu-miR-6240",17982.0445962296,-6.90205021573574,1.09282204348929,-6.31580434971652,2.68759893528401e-10,2.26629964272597e-09,2.26629964272597e-09
"75","mmu-miR-223-3p",19053.7360630861,-3.30289315851068,0.523299637271548,-6.3116672041505,2.76045338678674e-10,2.29669721780657e-09,2.29669721780657e-09
"76","mmu-miR-214-3p",9929.24398078204,-2.85708780867096,0.454708713244365,-6.28333639856056,3.31382918431639e-10,2.72082817238609e-09,2.72082817238609e-09
"77","mmu-let-7i-5p",89691.8161699272,-1.12157722634097,0.178939001300282,-6.26793051369958,3.65877972967167e-10,2.96503707963003e-09,2.96503707963003e-09
