"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"1","mmu-miR-3969",192.383329934619,2.32862846913249,0.169403820887605,13.7460209393829,5.38086078055991e-43,3.34689540550826e-40,3.34689540550826e-40
"2","mmu-miR-27a-5p",492.054961640398,0.99822027725018,0.133110640507556,7.49917717654971,6.42196752598901e-14,1.33148793372172e-11,1.33148793372172e-11
"3","mmu-miR-6240",17982.0445962296,-6.85104668398106,0.909244758121421,-7.53487619564166,4.88798355120124e-14,1.33148793372172e-11,1.33148793372172e-11
"4","mmu-miR-125a-3p",287.528903560721,0.726764537933141,0.107404400211641,6.76661790858706,1.31827612727606e-11,2.04991937791427e-09,2.04991937791427e-09
"5","mmu-miR-125b-1-3p",3015.9584232938,1.30987357142347,0.204299499220409,6.41153588932839,1.44060834984692e-10,1.79211678720957e-08,1.79211678720957e-08
"6","mmu-miR-2137",1440.58030481363,-4.9526010801407,0.77823276658955,-6.36390716603271,1.96685045101573e-10,2.03896830088631e-08,2.03896830088631e-08
"7","mmu-miR-380-3p",256.985203523829,2.7143611776662,0.445214374544147,6.09675098753364,1.08245937259669e-09,9.61842471078771e-08,9.61842471078771e-08
"8","mmu-miR-431-5p",822.952863844561,1.8514569210043,0.324785583988697,5.70055141692721,1.19420505558721e-08,9.28494430719059e-07,9.28494430719059e-07
"9","mmu-miR-296-3p",59.1847476750917,2.37596418177545,0.424051369997789,5.60301027158063,2.10660735954278e-08,1.45589975292846e-06,1.45589975292846e-06
"10","mmu-miR-671-3p",1124.02585206906,0.920981208892681,0.166288166429797,5.53846511550477,3.05134008661183e-08,1.89793353387256e-06,1.89793353387256e-06
"11","mmu-miR-540-3p",340.177374915268,2.47008740498191,0.449597904774228,5.49399225119232,3.92947738858704e-08,2.2219408506374e-06,2.2219408506374e-06
"12","mmu-miR-409-3p",908.31004885344,2.0699190286062,0.389374804784308,5.31600659100892,1.06069309004791e-07,5.49792585008167e-06,5.49792585008167e-06
"13","mmu-miR-5126",452.634059632741,-3.68790560110518,0.696011365317212,-5.29862842027644,1.16675801858639e-07,5.58248836585181e-06,5.58248836585181e-06
"14","mmu-miR-341-3p",757.51692365864,2.31458995568491,0.438207805035445,5.28194598336214,1.27818888452702e-07,5.67881061554147e-06,5.67881061554147e-06
"15","mmu-miR-673-3p",60.3281508833842,2.25310682311474,0.42953120751744,5.24550203496741,1.55857339550494e-07,6.46288434669382e-06,6.46288434669382e-06
"16","mmu-miR-300-3p",2891.10577964122,1.86359335389539,0.358623269657667,5.19652100566239,2.03052666541071e-07,7.89367241178415e-06,7.89367241178415e-06
