"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"1","mmu-miR-3969",192.383329934619,-2.18901019731434,0.162537185544226,-13.4677501027524,2.42132236322016e-41,1.50606250992294e-38,1.50606250992294e-38
"2","mmu-miR-29b-3p",5903.61432261966,0.895029394031486,0.0929602279289793,9.62808949559891,6.08502762591993e-22,1.8924435916611e-19,1.8924435916611e-19
"3","mmu-miR-145b",143.298373242924,1.07093212637707,0.170086751354355,6.29638768363511,3.04661845271841e-10,6.31665559196951e-08,6.31665559196951e-08
"4","mmu-miR-29a-3p",101124.433648694,1.14470523355351,0.197625840333076,5.79228521748087,6.94350938357139e-09,1.07971570914535e-06,1.07971570914535e-06
"5","mmu-miR-208b-3p",15626.2354510846,2.26301900539012,0.397276881259806,5.69632695014582,1.22416020599264e-08,1.52285529625484e-06,1.52285529625484e-06
"6","mmu-miR-3966",13.24188796885,-1.62592814257466,0.302758129944427,-5.37038639680164,7.85681150176387e-08,8.14489459016188e-06,8.14489459016188e-06
"7","mmu-miR-221-3p",8010.53985802232,0.424758792605345,0.0795353258436789,5.34050483982651,9.2688102947757e-08,8.23600000478641e-06,8.23600000478641e-06
"8","mmu-miR-466c-5p",41.027156604901,-1.91774321160679,0.364138295390069,-5.26652438341449,1.39030787955466e-07,1.08096437635375e-05,1.08096437635375e-05
"9","mmu-miR-380-3p",256.985203523829,-2.23196018984156,0.440968871577914,-5.06149148772102,4.15989315649143e-07,2.8749483814863e-05,2.8749483814863e-05
"10","mmu-miR-496a-3p",47.0256154989101,-2.46683696873171,0.492682779938184,-5.00694781547108,5.52999116295966e-07,3.43965450336091e-05,3.43965450336091e-05
"11","mmu-miR-181a-1-3p",2134.61722721931,-0.253288150594875,0.0513887251069737,-4.92886620688909,8.2708187503246e-07,4.67677205700173e-05,4.67677205700173e-05
"12","mmu-miR-679-5p",59.6659930635358,-2.89183201077343,0.59964674581551,-4.8225593333965,1.41727851258373e-06,7.34622695689232e-05,7.34622695689232e-05
"13","mmu-miR-301b-3p",65.9710982963549,-1.47605709634766,0.307321414256444,-4.80297508691005,1.56325341964009e-06,7.4795663616626e-05,7.4795663616626e-05
"14","mmu-miR-493-5p",24.1246474997937,-2.35455490628935,0.499033849390789,-4.71822684806601,2.37909126363214e-06,0.000105699626141371,0.000105699626141371
"15","mmu-miR-675-3p",10.5489847427913,-2.51904107655407,0.543221036274697,-4.6372303507043,3.53108818499119e-06,0.000146422456737635,0.000146422456737635
"16","mmu-miR-409-3p",908.31004885344,-1.79723350908549,0.388725179571071,-4.62340389441355,3.77493679028557e-06,0.000146750667722351,0.000146750667722351
"17","mmu-miR-542-3p",448.971291588996,-0.911433281661951,0.198503932264085,-4.59151247668688,4.40045330213097e-06,0.000161004820819145,0.000161004820819145
"18","mmu-miR-29c-3p",16364.6440512457,1.18452335785262,0.263576857617492,4.49403399281597,6.98864649786942e-06,0.000241496562315266,0.000241496562315266
"19","mmu-miR-381-3p",3293.31007713141,-1.7146094721321,0.383254037557477,-4.47381972296888,7.68345287527877e-06,0.000251531983601231,0.000251531983601231
"20","mmu-miR-29a-5p",425.235134395222,0.757610027519349,0.169801415102407,4.46174154121411,8.12962429680098e-06,0.000252831315630511,0.000252831315630511
"21","mmu-miR-341-3p",757.51692365864,-1.92243938549466,0.437168973257899,-4.39747443915822,1.09517777538907e-05,0.000324381226805717,0.000324381226805717
"22","mmu-miR-296-3p",59.1847476750917,-1.73790964049028,0.399878024051878,-4.34609940021312,1.38579788972477e-05,0.000378392518737018,0.000378392518737018
"23","mmu-miR-410-3p",3111.81358116378,-1.70859091005986,0.393323247334625,-4.34398658517698,1.39920063198576e-05,0.000378392518737018,0.000378392518737018
"24","mmu-miR-101a-5p",414.623000900766,0.829892027778488,0.19392286727725,4.27949544801231,1.87317468760394e-05,0.000485464439870687,0.000485464439870687
"25","mmu-miR-24-2-5p",12531.711408709,0.40593383194527,0.0951420556361315,4.266607750181,1.98467660256439e-05,0.00049378753871802,0.00049378753871802
"26","mmu-miR-351-5p",8720.74155621772,-0.786822110729164,0.185479415900314,-4.24209935593092,2.21438613904098e-05,0.000529749299416727,0.000529749299416727
"27","mmu-miR-431-5p",822.952863844561,-1.36746962502001,0.323773430242108,-4.22353873817705,2.40496010427208e-05,0.000554031549947123,0.000554031549947123
"28","mmu-miR-494-3p",50.3760980221899,-2.30038350752439,0.553122355213893,-4.15890532328028,3.19776398331505e-05,0.00071036042772213,0.00071036042772213
"29","mmu-miR-665-3p",39.1734987532756,-2.0549152432944,0.495626636741558,-4.14609524783456,3.38193188774327e-05,0.000725366080750453,0.000725366080750453
"30","mmu-miR-540-3p",340.177374915268,-1.83976885093957,0.446096951982812,-4.1241457552269,3.72113209141405e-05,0.000771514720286513,0.000771514720286513
"31","mmu-miR-21a-3p",9874.20977658166,-1.32292952996354,0.321783470121795,-4.11124141791004,3.93537448591967e-05,0.000789613848465173,0.000789613848465173
"32","mmu-miR-379-5p",793.192479092178,-1.23292941262737,0.301292179025994,-4.09213878904239,4.27412700273609e-05,0.000805608180515711,0.000805608180515711
"33","mmu-miR-487b-3p",78.1116389700551,-1.44468925990883,0.352449044818234,-4.09900177387028,4.14935856061442e-05,0.000805608180515711,0.000805608180515711
"34","mmu-miR-188-5p",213.212548028849,-0.705829302093148,0.173879370258628,-4.05930445367554,4.92191058536093e-05,0.00090042011296897,0.00090042011296897
"35","mmu-miR-134-5p",508.124822660932,-1.57758111277095,0.394188695912462,-4.00209627807614,6.27837391813345e-05,0.00111575673630829,0.00111575673630829
"36","mmu-miR-29c-5p",330.364194631855,0.739037953515774,0.185451336667076,3.98507752382774,6.74580983707227e-05,0.00116552603296082,0.00116552603296082
"37","mmu-miR-125b-5p",573067.503637991,1.30899592901161,0.329712435984828,3.97011391184484,7.18382780044173e-05,0.00120765970050669,0.00120765970050669
"38","mmu-miR-101a-3p",92509.3551132704,0.90131882359028,0.229699483777896,3.92390443707656,8.71253071191078e-05,0.00133175585955698,0.00133175585955698
"39","mmu-miR-101c",93865.8105653004,0.903428959981586,0.229791592951532,3.93151441433342,8.44124340270886e-05,0.00133175585955698,0.00133175585955698
"40","mmu-miR-431-3p",24.6403665799341,-1.43504658539705,0.365888327144986,-3.92208900621308,8.77845502280322e-05,0.00133175585955698,0.00133175585955698
"41","mmu-miR-99a-5p",126859.717593937,0.78954592173012,0.200527747676082,3.93733999847989,8.23898317117373e-05,0.00133175585955698,0.00133175585955698
"42","mmu-miR-1193-3p",74.9276725114705,-1.78309547203091,0.455400814564244,-3.91544199089124,9.02387402330907e-05,0.00133639277202339,0.00133639277202339
"43","mmu-miR-125a-5p",234985.545904,1.13407359904872,0.291033295713797,3.8967142789187,9.75065386869855e-05,0.00140120751338953,0.00140120751338953
"44","mmu-miR-18a-5p",304.074463917868,-1.23957427695958,0.318605336427477,-3.89062622383835,9.99858490693563e-05,0.00140120751338953,0.00140120751338953
"45","mmu-miR-201-5p",102.330130810179,1.06714688007493,0.275402616886689,3.8748610748096,0.000106685546117385,0.00140120751338953,0.00140120751338953
"46","mmu-miR-376a-3p",131.678421978481,-1.70906158959946,0.440928075857613,-3.87605526428614,0.000106163581543562,0.00140120751338953,0.00140120751338953
"47","mmu-miR-409-5p",994.627680098551,-1.75668031644437,0.453138606146399,-3.876695325926,0.000105884811859571,0.00140120751338953,0.00140120751338953
"48","mmu-miR-666-5p",119.125641796406,-1.75389784978313,0.453018523574728,-3.87158087034341,0.000108131769522021,0.00140120751338953,0.00140120751338953
"49","mmu-miR-361-3p",862.595100006656,0.489708254718419,0.127004272700476,3.85584078634374,0.000115332536880633,0.00144083389482564,0.00144083389482564
"50","mmu-miR-547-3p",318.893196875304,1.2147134129808,0.315116825113709,3.85480341312296,0.000115822660355759,0.00144083389482564,0.00144083389482564
"51","mmu-miR-127-5p",353.487868948725,-1.36267291503908,0.357459179967045,-3.81210776336674,0.000137786775810402,0.0016804583245896,0.0016804583245896
"52","mmu-miR-26b-3p",679.45621931651,0.307020797435291,0.0807985512744216,3.79983047459026,0.000144795104583895,0.00171513885833598,0.00171513885833598
"53","mmu-miR-300-3p",2891.10577964122,-1.35918863049394,0.358351493296835,-3.79289233034695,0.000148902730466468,0.00171513885833598,0.00171513885833598
"54","mmu-miR-669l-5p",12.0182417340321,-1.26189349700988,0.332531774688322,-3.79480576914083,0.000147759082982276,0.00171513885833598,0.00171513885833598
"55","mmu-miR-23a-3p",27275.1553815204,0.613527710943207,0.162610369264677,3.77299254480249,0.000161301109621767,0.001789831761969,0.001789831761969
"56","mmu-miR-26a-5p",2019758.1279153,0.721768189408834,0.191294638838638,3.77307066100093,0.000161250594252433,0.001789831761969,0.001789831761969
"57","mmu-miR-541-5p",8251.19760659841,-1.57222505221171,0.417166199577869,-3.76882176408983,0.000164019952463397,0.001789831761969,0.001789831761969
"58","mmu-let-7d-5p",41161.6433959372,0.621525193181296,0.166444080959187,3.73413815378449,0.000188359083768092,0.0020199887948923,0.0020199887948923
"59","mmu-miR-143-5p",930.41710484026,0.499338575827462,0.13435672839924,3.71651335795914,0.000201990966533008,0.00212946408785646,0.00212946408785646
"60","mmu-miR-374b-5p",596.398537943105,0.686138367052416,0.186064295303948,3.68764123139029,0.000226342471943091,0.00234641695914338,0.00234641695914338
"61","mmu-miR-125b-2-3p",12678.1374234351,0.49107989499496,0.134112190237896,3.6617096039059,0.000250537758986101,0.00236891368504283,0.00236891368504283
"62","mmu-miR-181b-1-3p",58.1093241450053,-0.54327041989253,0.148251028149835,-3.66453053764628,0.000247792675025576,0.00236891368504283,0.00236891368504283
"63","mmu-miR-299a-3p",304.100450238581,-1.63988035929711,0.446463366318976,-3.67304572560494,0.000239676574725424,0.00236891368504283,0.00236891368504283
"64","mmu-miR-299b-3p",304.076496789287,-1.62929636091122,0.445057588022811,-3.66086637944866,0.000251363831531876,0.00236891368504283,0.00236891368504283
"65","mmu-miR-328-3p",4065.63608416304,0.894805807158938,0.244266540079851,3.66323527924219,0.000249049584646641,0.00236891368504283,0.00236891368504283
"66","mmu-miR-374c-5p",596.548722093178,0.685277392172233,0.186305746335779,3.67824077168911,0.000234848214828462,0.00236891368504283,0.00236891368504283
"67","mmu-miR-193b-5p",9.11194269040614,1.25297424866148,0.34635507849312,3.61760033695125,0.000297347073769091,0.0027604459684235,0.0027604459684235
"68","mmu-miR-106a-5p",10.5710996056724,-1.12022099589312,0.31043114329601,-3.60859733337044,0.000307857011849889,0.00281598619662693,0.00281598619662693
"69","mmu-miR-27b-3p",1229546.27133435,0.333673244754209,0.0927611716865123,3.59712192814751,0.00032175768087689,0.00290048228268733,0.00290048228268733
"70","mmu-miR-298-5p",998.239805429902,-1.10405490895864,0.308156354901814,-3.58277507958716,0.000339963313876937,0.00302081687473507,0.00302081687473507
"71","mmu-miR-323-3p",30.7944157242219,-1.90751696421675,0.536608433943465,-3.55476515752587,0.000378316831970885,0.00331426858430832,0.00331426858430832
"72","mmu-miR-130b-3p",750.141829192358,-0.861590970877288,0.24562548510568,-3.50774257201605,0.000451926133093719,0.00385065828471635,0.00385065828471635
"73","mmu-miR-467c-5p",59.5557642099653,-1.02111462257901,0.290954917437552,-3.50952866365686,0.000448901670949345,0.00385065828471635,0.00385065828471635
"74","mmu-miR-376b-3p",207.58518695933,-1.33602179986148,0.381858565353686,-3.49873466534404,0.000467471526319094,0.00392928769419562,0.00392928769419562
"75","mmu-miR-211-5p",28.6019423204423,0.776001838456719,0.22279030335198,3.48310418712764,0.000495635434796997,0.00410461229066764,0.00410461229066764
"76","mmu-miR-434-5p",3353.19747969033,-1.42770689561987,0.410681305916071,-3.47643507277549,0.000508127244986186,0.00410461229066764,0.00410461229066764
"77","mmu-miR-483-3p",10.0407406151973,-1.55096032174786,0.445997991137176,-3.47750517394333,0.000506103282879085,0.00410461229066764,0.00410461229066764
"78","mmu-miR-666-3p",58.0201680525331,-1.11144048634581,0.321150245353888,-3.46081157472283,0.000538549618325526,0.00429458798203176,0.00429458798203176
"79","mmu-miR-382-3p",54.9760505541779,-1.62890940047302,0.474152893451498,-3.43540959671406,0.00059165883109093,0.00465837712580454,0.00465837712580454
"80","mmu-miR-592-5p",12.7694108622978,-1.09065006348322,0.318274706956245,-3.42675694815159,0.000610835546146078,0.00474924637128575,0.00474924637128575
