"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mir-215-5p",-0.699465482419964,11.0315301305452,-8.90551233139977,4.48314910832845e-07,0.000101319169848223,6.0911569401588
"mir-5119-3p",-4.83938317739955,5.42918972335956,-6.44762961455282,1.68009606857114e-05,0.00189850855748539,3.12056205829816
"mir-470-5p",1.99137443111563,5.44865304596362,6.00181700481534,3.52728983270084e-05,0.00219967200348519,2.38987446412536
"mir-31-5p",0.576441957063423,10.4326303815611,5.94370540986658,3.89322478492953e-05,0.00219967200348519,1.42551647510372
"mir-871-3p",1.77982015122301,6.28703684712711,5.11947901743421,0.000166001767442283,0.00625273324032601,0.621696652654164
"mir-298-5p",1.02167005835523,8.63590965302239,5.36279925017516,0.000107152033282048,0.00484327190434857,0.541111092981932
"mir-130a-5p",1.2698465765758,4.35431998170065,4.74891656834966,0.000328159875298669,0.0105948759739284,0.248551353568726
"mir-1983-3p",-0.975468527954417,7.97131934360104,-4.64650542895889,0.000397365220487142,0.0112255674787618,-0.710983292608666
"mir-7688-5p",0.97021890632896,7.03432911942635,4.37402182296491,0.000665062930983183,0.0150304222402199,-1.03205256932764
"mir-125b-2-3p",0.292203208020242,13.6662979994251,4.42165473536836,0.000607442914853373,0.0150304222402199,-1.64043018750454
"mir-210-5p",0.390484806473756,8.25366385245648,4.19300486568728,0.000940486274538582,0.0193227180041563,-1.64486120843543
"mir-499-5p",0.376141720705908,9.7127768786305,3.96294971875355,0.00146730733164112,0.0276342880792411,-2.29138724834405
"mir-362-5p",-1.11081839030229,4.5914991185429,-3.35061264405695,0.00487484199463701,0.0734476193858642,-2.43599249631101
"mir-130a-3p",0.710879103326324,5.18197903554863,3.18857571210207,0.00671024702478226,0.0947822392250494,-2.86117306044573
"mir-24-2-5p",0.263997949634069,13.9968649851861,3.60311572487219,0.00296507657731085,0.0515467158824809,-3.29588226889387
"mir-193b-3p",-0.317196365060235,9.53079985290291,-3.42374548584691,0.00422036716568635,0.0681287842460797,-3.34712995875469
"mir-1981-5p",-0.444635857428232,6.58839813864664,-3.05238337349423,0.00877563323092751,0.114486061458311,-3.53616078661915
"mir-21a-5p",-0.336300401111438,7.5702411288459,-3.03291745369021,0.00911835887721063,0.114486061458311,-3.81378611048067
"mir-3470b-5p",0.975656631620978,5.56050038812655,2.33223749653628,0.0354635855563868,0.325056204710216,-4.55502124023941
"mir-29a-3p",-0.329942891073504,8.78533480793363,-2.57529316374033,0.0222818285249705,0.239794916506825,-4.89597036932255
"mir-98-3p",-0.369633236059629,9.56323219698873,-2.60691589065101,0.0209611589511295,0.239794916506825,-4.92975449597173
"mir-674-5p",0.273431099855655,9.532501699449,2.5770577840756,0.0222060617152718,0.239794916506825,-4.98227486827565
"mir-6412-3p",0.331179249611456,8.26935959326849,2.46112754432054,0.0277496687713352,0.285064779196443,-5.01507683929457
"mir-7075-3p",-0.480768355371914,5.63250599183354,-1.99943544740978,0.065758805495524,0.448263661590555,-5.16682103271213
"mir-224-5p",-0.367619359933129,7.61396598097948,-2.31043943649975,0.036954749185724,0.325056204710216,-5.17354717718737
"mir-3098-3p",0.417050390831032,5.30563573491756,1.92684705687605,0.0749589520701087,0.448263661590555,-5.18623827169948
"mir-337-5p",-0.328989464151467,7.27167982302524,-2.25128447664034,0.041305527251743,0.33339461281764,-5.21315280945654
"mir-9769-3p",0.523941769494139,5.41154226387776,1.92312167507652,0.0754612786072452,0.448263661590555,-5.22243185830454
"mir-1981-3p",-0.25482213165458,8.47624341298883,-2.36387908642739,0.0334001562956985,0.325056204710216,-5.23052167513663
